"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode"
"Hannah Montana","7nU4hB040gTmHm45YYMvqc","0TyDqWrWHzuyFjjnKqDClu","album","2006-01-01",2006,"day",0.676,0.861,1,-3.645,1,0.0501,0.0512,0,0.0613,0.681,124.031,"6Z0F3Mqj7tq1CBZo5qMlUg","https://api.spotify.com/v1/audio-analysis/6Z0F3Mqj7tq1CBZo5qMlUg",3,1,174120,FALSE,"https://api.spotify.com/v1/tracks/6Z0F3Mqj7tq1CBZo5qMlUg",FALSE,"The Best of Both Worlds - From ""Hannah Montana""/Soundtrack Version",NA,1,"track","spotify:track:6Z0F3Mqj7tq1CBZo5qMlUg","https://open.spotify.com/track/6Z0F3Mqj7tq1CBZo5qMlUg","Hannah Montana","C#","major","C# major"
"Hannah Montana","7nU4hB040gTmHm45YYMvqc","0TyDqWrWHzuyFjjnKqDClu","album","2006-01-01",2006,"day",0.629,0.901,4,-3.357,1,0.0311,0.00871,0,0.0573,0.581,133.034,"7jg5JfizOZSEipnTR6d4Nt","https://api.spotify.com/v1/audio-analysis/7jg5JfizOZSEipnTR6d4Nt",4,1,194973,FALSE,"https://api.spotify.com/v1/tracks/7jg5JfizOZSEipnTR6d4Nt",FALSE,"Who Said - From ""Hannah Montana""/Soundtrack Version",NA,2,"track","spotify:track:7jg5JfizOZSEipnTR6d4Nt","https://open.spotify.com/track/7jg5JfizOZSEipnTR6d4Nt","Hannah Montana","E","major","E major"
"Hannah Montana","7nU4hB040gTmHm45YYMvqc","0TyDqWrWHzuyFjjnKqDClu","album","2006-01-01",2006,"day",0.628,0.844,4,-3.079,1,0.0403,0.0056,0,0.117,0.653,140.962,"1qsN5cpqU6quWtL9lgyA1v","https://api.spotify.com/v1/audio-analysis/1qsN5cpqU6quWtL9lgyA1v",4,1,194306,FALSE,"https://api.spotify.com/v1/tracks/1qsN5cpqU6quWtL9lgyA1v",FALSE,"Just Like You - From ""Hannah Montana""/Soundtrack Version",NA,3,"track","spotify:track:1qsN5cpqU6quWtL9lgyA1v","https://open.spotify.com/track/1qsN5cpqU6quWtL9lgyA1v","Hannah Montana","E","major","E major"
"Hannah Montana","7nU4hB040gTmHm45YYMvqc","0TyDqWrWHzuyFjjnKqDClu","album","2006-01-01",2006,"day",0.659,0.808,2,-5.079,1,0.0869,0.00928,6.68e-06,0.29,0.529,124.057,"3rcXcJT6Uwg1ojuCdPRjeJ","https://api.spotify.com/v1/audio-analysis/3rcXcJT6Uwg1ojuCdPRjeJ",4,1,189080,FALSE,"https://api.spotify.com/v1/tracks/3rcXcJT6Uwg1ojuCdPRjeJ",FALSE,"Pumpin' Up The Party - From ""Hannah Montana""/Soundtrack Version",NA,4,"track","spotify:track:3rcXcJT6Uwg1ojuCdPRjeJ","https://open.spotify.com/track/3rcXcJT6Uwg1ojuCdPRjeJ","Hannah Montana","D","major","D major"
"Hannah Montana","7nU4hB040gTmHm45YYMvqc","0TyDqWrWHzuyFjjnKqDClu","album","2006-01-01",2006,"day",0.608,0.867,4,-4.683,1,0.0307,0.00528,0,0.0643,0.866,94.008,"52Dw5hXeylenurLTKoFJfZ","https://api.spotify.com/v1/audio-analysis/52Dw5hXeylenurLTKoFJfZ",4,1,183293,FALSE,"https://api.spotify.com/v1/tracks/52Dw5hXeylenurLTKoFJfZ",FALSE,"If We Were A Movie - From ""Hannah Montana""/Soundtrack Version",NA,5,"track","spotify:track:52Dw5hXeylenurLTKoFJfZ","https://open.spotify.com/track/52Dw5hXeylenurLTKoFJfZ","Hannah Montana","E","major","E major"
"Hannah Montana","7nU4hB040gTmHm45YYMvqc","0TyDqWrWHzuyFjjnKqDClu","album","2006-01-01",2006,"day",0.53,0.951,8,-3.555,1,0.0401,0.00216,0,0.0454,0.813,144.878,"3bSq5OpEWmLK1o8F7saR2F","https://api.spotify.com/v1/audio-analysis/3bSq5OpEWmLK1o8F7saR2F",4,1,184226,FALSE,"https://api.spotify.com/v1/tracks/3bSq5OpEWmLK1o8F7saR2F",FALSE,"I Got Nerve - From ""Hannah Montana""/Soundtrack Version",NA,6,"track","spotify:track:3bSq5OpEWmLK1o8F7saR2F","https://open.spotify.com/track/3bSq5OpEWmLK1o8F7saR2F","Hannah Montana","G#","major","G# major"
"Hannah Montana","7nU4hB040gTmHm45YYMvqc","0TyDqWrWHzuyFjjnKqDClu","album","2006-01-01",2006,"day",0.629,0.889,6,-3.644,0,0.0692,0.0591,0,0.473,0.683,114.058,"0Q2y7Amx3vHz5Jqa7TFEYE","https://api.spotify.com/v1/audio-analysis/0Q2y7Amx3vHz5Jqa7TFEYE",4,1,185893,FALSE,"https://api.spotify.com/v1/tracks/0Q2y7Amx3vHz5Jqa7TFEYE",FALSE,"The Other Side of Me - From ""Hannah Montana""/Soundtrack Version",NA,7,"track","spotify:track:0Q2y7Amx3vHz5Jqa7TFEYE","https://open.spotify.com/track/0Q2y7Amx3vHz5Jqa7TFEYE","Hannah Montana","F#","minor","F# minor"
"Hannah Montana","7nU4hB040gTmHm45YYMvqc","0TyDqWrWHzuyFjjnKqDClu","album","2006-01-01",2006,"day",0.58,0.798,4,-4.286,1,0.0291,0.000427,1.13e-06,0.36,0.48,141.04,"5qiWQq9tPjMDNpd1knSoZ0","https://api.spotify.com/v1/audio-analysis/5qiWQq9tPjMDNpd1knSoZ0",4,1,177253,FALSE,"https://api.spotify.com/v1/tracks/5qiWQq9tPjMDNpd1knSoZ0",FALSE,"This Is The Life - From ""Hannah Montana""/Soundtrack Version",NA,8,"track","spotify:track:5qiWQq9tPjMDNpd1knSoZ0","https://open.spotify.com/track/5qiWQq9tPjMDNpd1knSoZ0","Hannah Montana","E","major","E major"
"Hannah Montana","7nU4hB040gTmHm45YYMvqc","0TyDqWrWHzuyFjjnKqDClu","album","2006-01-01",2006,"day",0.495,0.89,2,-4.652,0,0.0551,2.08e-05,0,0.361,0.828,149.021,"7DG7PKJu8yzV3mUuFwHBB7","https://api.spotify.com/v1/audio-analysis/7DG7PKJu8yzV3mUuFwHBB7",4,1,264333,FALSE,"https://api.spotify.com/v1/tracks/7DG7PKJu8yzV3mUuFwHBB7",FALSE,"Pop Princess",NA,9,"track","spotify:track:7DG7PKJu8yzV3mUuFwHBB7","https://open.spotify.com/track/7DG7PKJu8yzV3mUuFwHBB7","Hannah Montana","D","minor","D minor"
"Hannah Montana","7nU4hB040gTmHm45YYMvqc","0TyDqWrWHzuyFjjnKqDClu","album","2006-01-01",2006,"day",0.596,0.886,4,-4.368,0,0.0434,0.0756,0.0612,0.261,0.334,89.994,"0JEMIWYeJMWUjhZTgmAekJ","https://api.spotify.com/v1/audio-analysis/0JEMIWYeJMWUjhZTgmAekJ",4,1,213253,FALSE,"https://api.spotify.com/v1/tracks/0JEMIWYeJMWUjhZTgmAekJ",FALSE,"She's No You",NA,10,"track","spotify:track:0JEMIWYeJMWUjhZTgmAekJ","https://open.spotify.com/track/0JEMIWYeJMWUjhZTgmAekJ","Hannah Montana","E","minor","E minor"
