Song Title;Streams;Daily
Flowers;2,833,875,145;1,012,546
Party In The U.S.A.;2,149,504,403;905,751
Angels Like You;1,344,909,249;594,869
We Can't Stop;1,273,188,008;629,042
Wrecking Ball;1,246,059,662;555,009
* Nothing Breaks Like a Heart (feat. Miley Cyrus);1,222,731,979;423,048
Malibu;903,882,386;158,229
Prisoner (feat. Dua Lipa);899,728,914;132,395
The Climb;855,732,722;559,03
Midnight Sky;707,037,211;109,955
When I Look At You;571,854,552;213,127
Adore You;481,994,013;368,991
* Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey);422,405,345;57,35
* 23;421,058,717;161,295
Slide Away;388,728,834;53,874
Mother's Daughter;337,160,096;44,179
Used To Be Young;298,036,116;99,572
Heart Of Glass (Live from the iHeart Festival);291,630,780;58,546
* WITHOUT YOU (with Miley Cyrus);270,550,249;30,364
Jaded;223,781,400;62,713
Plastic Hearts;223,212,147;34,311
See You Again;206,406,598;164,413
* Feelin' Myself;191,373,778;35,914
7 Things;168,424,208;73,705
Butterfly Fly Away;155,127,269;69,672
River;153,387,704;25,919
Can't Be Tamed;150,722,163;63,772
Edge of Midnight (Midnight Sky Remix) (feat. Stevie Nicks);147,558,863;35,788
End of the World;140,234,726;139,057
* II MOST WANTED;139,534,989;39,818
FU (feat. French Montana);108,327,206;10,754
Hoedown Throwdown;106,368,188;75,256
Younger Now;99,769,954;7,735
Do My Thang;92,394,065;8,538
WTF Do I Know;88,626,264;12,291
Nothing Else Matters;83,329,340;23,782
Never Be Me;79,107,077;17,017
Rose Colored Lenses;78,929,311;18,799
Gimme What I Want;77,773,058;12,605
Night Crawling (feat. Billy Idol);77,689,249;12,293
Rockin' Around The Christmas Tree;77,478,018;410
Zombie (Live from the NIVA Save Our Stages Festival);77,105,973;19,308
Unholy;76,649,318;6,058
Like a Prayer - Live;69,353,432;35,119
* AM I DREAMING (feat. Miley Cyrus);68,658,066;10,797
Thousand Miles (feat. Brandi Carlile);62,484,181;18,331
Stay;60,990,544;7,945
* Doctor (Work It Out) [feat. Miley Cyrus];60,874,013;14,027
Who Owns My Heart;58,141,761;24,424
Someone Else;56,271,938;6,14
High;55,658,859;7,327
Hate Me;53,922,442;7,406
Sleigh Ride;52,690,398;269
Drive;51,701,602;8,366
* Nothing Breaks Like a Heart (feat. Miley Cyrus) - Don Diablo Remix;50,790,628;2,5
Island;49,848,226;12,809
You;49,086,042;10,716
Jolene - Live;47,617,157;23,754
Bad Karma (feat. Joan Jett);47,337,741;6,592
Malibu - Tiësto Remix;46,424,971;4,304
D.R.E.A.M. (feat. Ghostface Killah);46,298,834;3,579
Easy Lover;46,291,742;39,374
* Decisions (feat. Miley Cyrus);45,247,928;4,139
Muddy Feet (feat. Sia);42,919,939;6,627
Happy Xmas (War Is Over) (feat. Sean Ono Lennon);41,920,017;390
Every Rose Has Its Thorn;40,785,148;5,926
Girls Just Wanna Have Fun;40,296,596;12,589
Fly On The Wall;39,367,967;16,621
Hands Of Love;39,064,062;1,127
#GETITRIGHT;38,615,300;4,42
4x4 (feat. Nelly);38,586,124;4,462
SMS (Bangerz) (feat. Britney Spears);36,749,394;4,626
Violet Chemistry;36,708,283;8,227
The Most;36,094,525;3,255
Party Up The Street;36,015,784;2,892
* Fall Down;35,989,875;1,696
Golden G String;34,924,789;4,547
I Would Die For You;33,769,038;2,342
Dream;33,231,845;39,118
Prisoner (feat. Dua Lipa) - Jax Jones Remix;32,347,790;3,019
Wildcard;31,461,141;7,237
Love Money Party (feat. Big Sean);30,872,831;3,343
My Darlin' (feat. Future);30,784,088;3,49
Wildflowers - Recorded at Spotify Studios NYC;29,740,486;3,755
* Nothing Breaks Like a Heart (feat. Miley Cyrus) - Acoustic Version;29,627,020;6,318
Maybe You're Right;28,725,502;3,381
More to Lose;28,562,830;21,212
Malibu - Alan Walker Remix;27,198,080;1,986
Week Without You;27,108,217;1,289
Handstand;26,472,753;4,972
Cattitude (feat. RuPaul);26,047,417;2,213
Wonder Woman;25,756,400;5,568
Flowers (Demo);25,695,012;7,449
Hands in the Air (feat. Ludacris);25,594,599;2,668
* Real and True (feat. Mr Hudson);25,276,011;2,072
You - Live;25,205,504;3,096
Inspired;24,533,890;939
Rooting for My Baby;23,762,370;3,372
Adore You - Remix;23,527,919;944
Goodbye;23,298,250;5,453
* Ashtrays and Heartbreaks (feat. Miley Cyrus);23,232,951;1,49
On My Own;23,192,474;2,691
* Before The Storm (feat. Miley Cyrus);22,900,068;4,036
Miss You So Much;20,533,121;1,518
Bad Mood;20,371,366;1,301
She's Not Him;19,532,202;1,262
Don't Walk Away;19,396,021;15,803
See You Again - Rock Mafia Remix;19,043,699;4,765
Dream As One - from Avatar: Fire and Ash;17,509,363;98,224
Rainbowland (feat. Dolly Parton);17,447,073;1,461
* Ready, Set, Don't Go;16,465,890;4,223
Thinkin';15,700,871;833
Something Beautiful;15,615,669;8,36
Secrets (feat. Lindsey Buckingham & Mick Fleetwood);15,230,533;19,19
* I Got So High That I Saw Jesus (feat. Miley Cyrus) - Live Recording;15,084,194;3,191
BB Talk;14,681,630;2,045
Walk of Fame (feat. Brittany Howard);14,431,261;17,865
* Wrecking Ball;13,888,820;4,745
I Miss You;13,798,240;3,508
* Nothing Breaks Like a Heart (feat. Miley Cyrus) - Dimitri from Paris Remix;13,575,808;1,058
The Time Of Our Lives;13,250,799;2,906
When I Look At You;13,212,572;2,235
Love Someone;12,900,357;1,213
Space Bootz;12,669,438;2,693
* Te Miro A Ti;12,606,525;6,035
Two More Lonely People;12,587,938;2,172
Don't Let The Sun Go Down On Me;12,276,025;2,078
Start All Over;12,193,907;7,336
Wrecking Ball X Nothing Compares 2 U - Live;11,992,190;3,741
Golden Burning Sun;11,777,987;12,331
I Thought I Lost You - Soundtrack;11,592,435;4,921
Every Girl You've Ever Loved (feat. Naomi Campbell);11,272,083;12,169
Liberty Walk;11,155,943;2,506
We Can't Stop X Where Is My Mind? - Live;11,134,959;2,903
Before The Storm – duet with Jonas Brothers (Live);11,019,581;1,422
Dooo It!;11,011,715;1,368
Bottom Of The Ocean;10,191,134;2,598
Psycho Killer;10,025,447;2,78
Twinkle Song;9,743,884;1,034
The Climb - Live;8,953,539;5,317
Obsessed;8,601,658;1,656
Heart of Glass - Live;8,542,196;2,026
My Heart Beats For Love;8,415,072;1,401
Breakout;8,387,886;2,846
"Younger You - From the ""Hannah Montana 20th Anniversary Special""";8,118,622;437,57
Malibu - The Him Remix;7,812,241;467
Permanent December;7,742,923;1,705
Forgiveness And Love;7,706,093;1,372
The Driveway;7,700,748;2,999
Prelude;7,682,937;3,734
* Overboard (Live);7,664,172;7,22
Scars;7,651,648;1,354
Reborn;7,576,614;6,164
Let's Dance;7,376,240;3,354
Robot;7,345,177;1,576
Kicking And Screaming;7,284,254;1,521
Mother's Daughter X Boys Don't Cry (feat. Anitta) - Live;7,272,423;1,646
Bang Bang X See You Again - Live;7,176,418;2,395
Full Circle;7,087,665;2,014
Plastic Hearts - Live;7,015,418;1,26
Pretend You're God;6,861,723;5,672
These Four Walls;6,840,483;1,874
* We Belong To The Music (Featuring Miley Cyrus);6,775,587;1,348
G.N.O. - Girl's Night Out;6,713,842;3,448
East Northumberland High;6,679,738;2,995
Take Me Along;6,615,822;1,481
Mother's Daughter - White Panda Remix;6,010,540;503
Never Be Me - Live;5,892,556;1,272
Edge of Midnight (Midnight Sky Remix) - Live;5,745,140;1,464
Karen Don't Be Sad;5,571,284;865
* Nothing Breaks Like a Heart (feat. Miley Cyrus) - Martin Solveig Remix;5,411,444;413
Simple Song;5,406,708;1,398
* Christmas Is (feat. Miley Cyrus);5,236,106;94
ATTENTION;5,143,253;646
Mother's Daughter - R3HAB Remix;5,058,405;406
Angels Like You - Live;5,016,636;1,698
7 Things - Live;4,949,122;923
Maybe - Live;4,929,553;1,246
Party In The USA - Live;4,922,648;1,326
Wake Up America;4,892,405;1,228
Nothing Breaks Like a Heart - Live;4,804,986;2,2
Talk Is Cheap;4,769,896;949
4x4 - Live;4,678,990;864
I Learned From You;4,651,098;2,213
Bang Me Box;4,650,257;1,005
Give Me Love;4,648,613;3,747
Malibu - Lost Frequencies Remix;4,634,975;480
High - Live;4,547,461;1,059
I Get So Scared;4,521,862;798
Fweaky;4,430,601;691
Interlude 2;4,284,605;2,883
Right Here;4,168,243;2,021
Interlude 1;4,132,313;2,937
Mother's Daughter - Wuki Remix;4,065,114;554
Lighter;4,040,681;839
Butterfly Fly Away - Extended Version;3,866,631;2,064
* Lucy in the Sky with Diamonds (feat. Miley Cyrus & Moby);3,840,718;711
23 - Live;3,800,453;750
Bad Mood - Recorded at Spotify Studios NYC;3,700,899;189
(SMS) Bangerz - Live;3,650,519;625
Best of Both Worlds - Live from Arrowhead Pond, Anaheim, U.S.A./2008;3,644,379;3,824
Walk of Fame (feat. Brittany Howard) - Edit;3,587,216;4,508
Pablow The Blowfish;3,565,894;463
The Floyd Song (Sunrise);3,287,372;558
Good and Broken;3,119,344;1,403
* Know This (Feat. Miley Cyrus);3,076,368;1,764
As I Am;3,004,313;1,415
Something About Space Dude;2,814,521;539
Dooo It! - Live;2,787,278;531
Malibu - Gigamesh Remix;2,776,163;132
Fucking Fucked Up;2,674,540;408
Slab of Butter (Scorpion) (feat. Sarah Barthel);2,653,479;543
I'm So Drunk;2,646,318;356
Clear;2,556,243;1,144
Fly On The Wall - Live;2,555,227;689
1 Sun;2,519,458;599
Younger Now - Syn Cole Remix;2,505,550;126
Tiger Dreams (feat. Ariel Pink);2,393,978;464
Cyrus Skies;2,377,722;527
End of the World - Edit;2,367,290;1,284
* Nothing Breaks Like a Heart (feat. Miley Cyrus) - Boston Bun Remix;2,361,977;177
I Forgive Yiew;2,294,424;640
Milky Milky Milk;2,259,267;460
WTF Do I Know - Live;2,123,472;572
You (Take 2) - Live;2,092,543;499
* Light of a Clear Blue Morning;1,975,077;7,333
Younger Now - R3HAB Remix;1,972,186;99
Tangerine (feat. Big Sean);1,955,479;423
Malibu - Dillon Francis Remix;1,726,225;166
* Androgynous;1,693,723;538
Evil is but a Shadow;1,666,431;304
Maybe It's;1,514,826;531
Every Girl You've Ever Loved (feat. Naomi Campbell) - Edit;1,450,448;957
Miley Tibetan Bowlzzz;1,436,087;314
* A Day in the Life (feat. Miley Cyrus & New Fumes);1,282,912;91
See You Again - Live from Arrowhead Pond, Anaheim, U.S.A./2008;1,272,366;285
Party In The U.S.A. - Cahill Club Mix;1,074,933;96
More to Lose - Edit;990,077;439
Reborn - Edit;943,957;393
Lockdown (feat. David Byrne);913,761;1,533
* Stand (feat. Miley Cyrus);907,552;380
Who Owns My Heart - The Alias Radio Mix;885,912;123
Start All Over - Live from Arrowhead Pond, Anaheim, U.S.A./2008;846,288;266
G.N.O. (Girl's Night Out) - Live from Arrowhead Pond, Anaheim, U.S.A./2008;843,349;187
Party In The U.S.A. - Wideboys Full Club;831,978;42
Let's Dance - Live from Arrowhead Pond, Anaheim, U.S.A./2008;803,87;187
Younger Now - Niko The Kid Remix;799,102;57
Santa Claus Is Comin' To Town;749,816;47
The Climb - Full Pop Mix;666,637;298
Someday;609,665;32
Hovering;572,669;18
East Northumberland High - Live from Arrowhead Pond, Anaheim, U.S.A./2008;570,92;139
Good and Broken - Live from Arrowhead Pond, Anaheim, U.S.A./2008;492,321;139
Can't Be Tamed - Wideboys Stadium Radio Remix;453,662;272
Younger Now - Fred Falke Remix;383,08;64
Fly on the Wall - Jason Nevins Radio Edit Remix;308,664;43
Younger Now - BURNS Remix;290,009;37
7 Things - Instrumental Version;251,15;28
Younger Now - DJ Premier Remix;239,197;22
